"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"44","경기도 광명시 광명동","297-26","0297","0026","신기주택","50.2400","47.1600","202605","31","60,000","2","개인","개인","1979","광명로848번길 5-36","-","중개거래","경기 광명시","-"
"45","경기도 성남시 중원구 성남동","3693","3693","0000","현대빌라트","54.7200","25.8100","202605","31","30,400","1","개인","개인","2001","광명로42번길 24-1","-","중개거래","경기 성남시 중원구","-"
"46","경기도 수원시 팔달구 우만동","553-13","0553","0013","WHOUSE","46.7200","26.4787","202605","31","27,500","5","개인","개인","2016","경수대로616번길 37-8","-","중개거래","경기 수원시 팔달구","26.06.04"
"47","경기도 부천시 오정구 작동","126-3","0126","0003","비오스타운","51.2900","42.2300","202605","31","23,500","2","개인","개인","2019","역곡로324번길 56","-","중개거래","경기 부천시 원미구","-"
"48","서울특별시 관악구 남현동","1053-24","1053","0024","파크뷰A,B동","53.8700","27.4600","202605","31","58,000","2","개인","개인","2021","남부순환로260길 94","-","직거래","-","-"
"49","서울특별시 성북구 성북동","168-46","0168","0046","포시즌","26.7600","22.5000","202605","31","47,500","2","개인","개인","2021","성북로8다길 28","-","중개거래","서울 성북구","-"
"50","서울특별시 금천구 시흥동","936-10","0936","0010","정원빌라","63.2100","50.6700","202605","31","31,000","3","개인","개인","1993","독산로2길 14","-","중개거래","서울 금천구","-"
"51","경상북도 포항시 북구 용흥동","330-25","0330","0025","(330-25)","53.2200","43.7143","202605","31","1,900","2","개인","법인","1986","용흥로62번길 11","-","직거래","-","26.06.05"
"52","인천광역시 부평구 청천동","73-7","0073","0007","장하주택(73-7)","31.8000","24.7400","202605","31","9,000","2","개인","개인","1990","세월천로115번길 7","-","직거래","-","26.06.01"
"53","서울특별시 금천구 독산동","1046-22","1046","0022","한백아트(1046-22)","29.8100","22.5600","202605","31","28,500","5","개인","개인","2016","독산로49길 26","-","중개거래","서울 금천구","26.06.05"
"54","경상남도 거제시 옥포동","534-8","0534","0008","경남","53.8800","50.6100","202605","31","2,000","2","개인","개인","1989","옥포로18길 21","-","직거래","-","26.06.04"
"55","경기도 부천시 원미구 상동","249","0249","0000","상동E클래식","30.5100","17.5200","202605","31","14,500","2","개인","개인","2013","장말로188번길 60","-","중개거래","경기 부천시 원미구","26.06.01"
"56","서울특별시 중랑구 신내동","395-15","0395","0015","로뎀하이빌A.B동","56.7100","32.8000","202605","31","49,900","3","개인","개인","2023","봉화산로 238","-","직거래","-","-"
"57","서울특별시 강서구 화곡동","851-15","0851","0015","월드스카이빌","52.9100","31.6300","202605","31","51,000","3","개인","개인","2012","강서로5라길 129","-","중개거래","경기 광명시, 서울 강서구","-"
"58","경기도 광주시 삼동","235-24","0235","0024","포레힐스(102동)","70.0600","54.1160","202605","31","31,400","1","개인","개인","2017","고불로 437","-","중개거래","경기 광주시","-"
"59","경상북도 김천시 신음동","692","0692","0000","영진하이빌","73.9600","71.8010","202605","31","8,600","4","개인","개인","2012","시청1길 112","-","중개거래","경북 김천시","-"
"60","경기도 광명시 광명동","33-44","0033","0044","현대빌라14차","42.4800","23.3143","202605","31","43,000","1","개인","개인","1995","오리로920번길 1","-","중개거래","경기 광명시","-"
"61","인천광역시 검단구 마전동","1026-2","1026","0002","창우아이빌202동","60.9900","35.8856","202605","31","15,500","2","기타","개인","2011","완정로45번길 19","-","중개거래","인천 검단구","26.07.07"
"62","경기도 오산시 원동","382-2","0382","0002","디자인타운","41.2300","12.8270","202605","31","16,800","9","개인","개인","2018","경기대로148번길 24","-","중개거래","경기 부천시 원미구","-"
"63","강원특별자치도 동해시 천곡동","1041-12","1041","0012","삼양빌라B","55.8100","29.2125","202605","31","5,300","3","개인","개인","1993","동굴1길 46-5","-","중개거래","강원 동해시","-"
"64","서울특별시 은평구 응암동","195-64","0195","0064","뉴캐슬(195-64)","34.0900","26.4100","202605","31","23,000","6","개인","개인","2014","응암로34길 29","-","중개거래","서울 은평구","-"
